Task,id,Age,Gender,True Positives,True Negatives,False Positives,False Negatives,User Rating,time stamp
New Simple Task,0,mike​,1​,1 TP,0 TN,0 FP,0 FN,2 Scale10/21/2021 12:43:50 PM
New High Load Task,0,mike​,1​,1 TP,0 TN,1 FP,0 FN,9 Scale10/21/2021 12:44:17 PM
New Controlled Condition,0,mike​,1​,0 TP,0 TN,0 FP,0 FN,1 Scale10/21/2021 12:44:48 PM
New Simple Task,,1 TP,0 TN,0 FP,0 FN,Arousal level: 3  10/23/2021 1:54:13 PM
New Simple Task,,1 TP,0 TN,0 FP,0 FN,Arousal level: 3  10/23/2021 1:59:06 PM
New Simple Task,1,1 TP,0 TN,0 FP,0 FN,Arousal level: 3  10/23/2021 3:52:34 PM
New High Load Task,2,1 TP,0 TN,1 FP,0 FN,Arousal level: 10  10/23/2021 3:52:56 PM
New Simple Task,1,1 TP,0 TN,0 FP,0 FN,Arousal level: 3  10/23/2021 4:24:43 PM
New Simple Task,1​30​1​1,1 TP,0 TN,0 FP,0 FN,Arousal level: 0  10/23/2021 4:28:28 PM
New Simple Task,1​22​1​1,1 TP,0 TN,0 FP,0 FN,Arousal level: 6  10/26/2021 2:02:11 PM
New Simple Task,1,1 TP,0 TN,0 FP,0 FN,Arousal level: 5  10/26/2021 2:07:40 PM
New Simple Task,1,1 TP,0 TN,0 FP,0 FN,Arousal level: 4  10/26/2021 2:08:41 PM
New Simple Task,1,1 TP,0 TN,0 FP,0 FN,Arousal level: 2  10/26/2021 2:11:38 PM
New Simple Task,1,1 TP,0 TN,0 FP,0 FN,Arousal level: 7  10/26/2021 2:13:03 PM
New Simple Task,1,0 TP,0 TN,0 FP,1 FN,Arousal level: 5  10/26/2021 2:18:41 PM
New Simple Task,1,0 TP,0 TN,0 FP,1 FN,Arousal level: 4  10/26/2021 2:22:26 PM
New Simple Task,1,0 TP,0 TN,0 FP,1 FN,Arousal level: 5  10/26/2021 2:23:52 PM
New Simple Task,1,0 TP,0 TN,0 FP,1 FN,Arousal level: 3  10/26/2021 2:26:36 PM
New Simple Task,1,0 TP,0 TN,0 FP,1 FN,Arousal level: 5  10/26/2021 2:30:03 PM
New Simple Task,1,0 TP,0 TN,0 FP,1 FN,Arousal level: 4  10/26/2021 2:34:28 PM
New Simple Task,1,0 TP,0 TN,0 FP,1 FN,Arousal level: 5  10/26/2021 2:36:56 PM
New Simple Task,1,0 TP,0 TN,0 FP,1 FN,Arousal level: 5  10/26/2021 2:38:09 PM
New Simple Task,1,1 TP,0 TN,0 FP,0 FN,Arousal level: 5  10/26/2021 2:39:51 PM
